id_departamento,id_provincia,departamento,provincia
292,15,Albardón,San Juan
293,15,Angaco,San Juan
294,15,Calingasta,San Juan
295,15,Jáchal,San Juan
296,15,San Martín,San Juan
297,15,Sarmiento,San Juan
298,15,Valle Fértil,San Juan
299,15,Zonda,San Juan
300,16,Ushuaia,Tierra del Fuego
301,16,Río Grande,Tierra del Fuego
302,16,Tolhuin,Tierra del Fuego
303,17,Capital,La Rioja
304,17,General Belgrano,La Rioja
305,17,General Ocampo,La Rioja
306,17,Arauco,La Rioja
307,18,Formosa,Formosa
308,18,Pilcomayo,Formosa
309,18,Pirané,Formosa
310,18,Matacos,Formosa
311,18,Patiño,Formosa
312,18,Bermejo,Formosa
313,18,Ramón Lista,Formosa
314,19,Dr. Manuel Belgrano,Jujuy
315,19,El Carmen,Jujuy
316,19,Palpalá,Jujuy
317,19,San Antonio,Jujuy
318,19,San Pedro,Jujuy
319,19,Humahuaca,Jujuy
320,19,Yaví,Jujuy
321,19,Ledesma,Jujuy
322,19,Cochinoca,Jujuy
323,19,Santa Bárbara,Jujuy
324,19,Tilcara,Jujuy
325,20,Guaymallén,Mendoza
326,20,Maipú,Mendoza
327,20,Las Heras,Mendoza
328,20,Godoy Cruz,Mendoza
329,20,Capital,Mendoza
330,20,San Martín,Mendoza
331,20,Lavalle,Mendoza
332,20,Luján de Cuyo,Mendoza
333,20,Tunuyán,Mendoza
334,20,General Alvear,Mendoza
335,20,Rivadavia,Mendoza
336,20,San Carlos,Mendoza
337,20,Tupungato,Mendoza
338,20,Malargüe,Mendoza
339,20,San Rafael,Mendoza
340,20,Santa Rosa,Mendoza
341,20,La Paz,Mendoza
342,21,Banda,Santiago del Estero
343,21,Choya,Santiago del Estero
344,21,Capital,Santiago del Estero
345,21,Copo,Santiago del Estero
346,21,Moreno,Santiago del Estero
347,21,General Taboada,Santiago del Estero
348,21,Pellegrini,Santiago del Estero
349,21,Alberdi,Santiago del Estero
350,21,Atamisqui,Santiago del Estero
351,21,Avellaneda,Santiago del Estero
352,21,Jiménez,Santiago del Estero
353,21,Juan F. Ibarra,Santiago del Estero
354,21,Ojo de Agua,Santiago del Estero
355,21,Río Hondo,Santiago del Estero
356,21,Robles,Santiago del Estero
357,21,Sarmiento,Santiago del Estero
358,21,Silípica,Santiago del Estero
359,21,Loreto,Santiago del Estero
360,21,Guasayán,Santiago del Estero
361,22,Rawson,Chubut
362,22,Biedma,Chubut
363,22,Escalante,Chubut
364,22,Futaleufú,Chubut
365,22,Sarmiento,Chubut
366,22,Cushamen,Chubut
367,22,Gaiman,Chubut
368,23,Güer Aike,Santa Cruz
369,23,Corpen Aike,Santa Cruz
370,23,Deseado,Santa Cruz
371,24,Puelén,La Pampa
372,24,Toay,La Pampa
373,24,Catriló,La Pampa
374,24,Capital,La Pampa
375,24,Chalileo,La Pampa
